abandon	L01 U01	[əˈbændən][sound:abandon.mp3]<br />		<hr /><strong>构词</strong>　【根】a-[ad-, to]+ban[v.＆n.禁令]+-don[v.＆n.], to ban, 禁令下达后的结果→v.放弃；停止做某事；放弃（理智、责任）→v.＆n.放纵<br />	<hr />【<strong>考法 1</strong>】<br />v./n. <strong><ins>放纵：</ins></strong>carefree, freedom from <strong><ins>constraint</ins></strong><br /><strong>例</strong>　abandon oneself to emotion　感情用事<br /><strong>近</strong>　unconstraint, uninhibitedness, unrestraint<br /><hr />【<strong>考法 2</strong>】<br />v. <strong><ins>放弃：</ins></strong>to <strong><ins>withdraw</ins></strong> from often in the face of danger or encroachment<br /><strong>例</strong>　abandon the home　离家<br /><strong>反</strong>　salvage　救援<br />
deprivation	L06 U10	[ˌdeprɪˈveɪʃn][sound:deprivation.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />n. <strong><ins>匮乏：</ins></strong>the condition of being deprived; <strong><ins>privation</ins></strong><br /><strong>例</strong>　serious sleep deprivation caused by long work hours　由长时间工作导致的严重睡眠不足<br /><strong>反</strong>　fecundity　丰饶<br />
deracinate	L06 U10	[ˌdiːˈræsɪneɪt]<br />		<hr /><strong>构词</strong>　【联】de-[away]+rac[race]+-(in) ate[v.], make a race away→v.根除<br />	<hr />【<strong>考法 1</strong>】<br />vt. <strong><ins>根除：</ins></strong>to <strong><ins>pull out</ins></strong> by the roots; uproot<br /><strong>反</strong>　plant　种植<br />
derelict	L06 U10	[ˈderəlɪkt][sound:derelict.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>玩忽职守的，不认真的：</ins></strong><strong><ins>lacking</ins></strong> a sense of <strong><ins>duty</ins></strong>; marked by a <strong><ins>carelessly</ins></strong> easy manner<br /><strong>例</strong>　The guards were judged derelict in their duty．守卫们被判玩忽职守罪。<br /><strong>近</strong>　disregardful, lax, neglectful, neglecting, remiss, slack<br /><strong>反</strong>　extremely careful, attentive, conscientious, nonnegligent　特别仔细的<br />
deride	L06 U10	[dɪˈraɪd][sound:deride.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />vt. <strong><ins>嘲弄，嘲笑：</ins></strong>to speak of or treat with <strong><ins>contemptuous mirth</ins></strong><br /><strong>例</strong>　My brothers derided our efforts, but were forced to eat their words when we won first place．我的兄弟嘲笑我们的努力，但是当我们得了第一名以后他们不得不收回那些话。<br /><strong>近</strong>　gibe, jeer, mock, scout, shoot down, laugh at<br /><strong>反</strong>　praise　赞美<br /><strong>派</strong>　derision n．嘲弄：contemptuous or jeering laughter; ridicule<br />　　<strong>反</strong>　veneration　尊敬<br />
derivative	L06 U10	[dɪˈrɪvətɪv][sound:derivative.mp3]<br />		<hr /><strong>构词</strong>　【参】derive[v.派生]→a.非原创的<br />	<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>非原创的：</ins></strong>lacking <strong><ins>originality</ins></strong>: banal<br /><strong>例</strong>　their dull, derivative debut album　他们毫无新意的首张专辑<br /><strong>近</strong>　secondhand<br /><strong>反</strong>　original, innovative, precursory　原创的，先驱的<br />
descend	L06 U10	[dɪˈsend][sound:descend.mp3]<br />		<hr /><strong>构词</strong>　【根】de-[down]+scend[climb], climb down→v.下降；引申义“pass down”→v.世代相传<br />　　　【派】descendant[n.后代]<br /><strong>词根</strong>　<strong>scend</strong>　词根scend表示climb[爬]。ascend[v.攀登，上升]字面含义“to[a-=ad-]climb[scend]”。<br /><strong>同根</strong>　ascendant, crescendo, descend, condescending, transcend<br />	<hr />【<strong>考法 1</strong>】<br />v. <strong><ins>下降：</ins></strong>to lead or extend <strong><ins>downward</ins></strong><br /><strong>例</strong>　The pathway descends to the river bank．通道一直向下延伸到河岸。<br /><strong>近</strong>　dip, fall, plunge, sink<br /><strong>反</strong>　arise, ascend, climb, mount, upsweep, upturn　上升，登上<br /><hr />【<strong>考法 2</strong>】<br />v. <strong><ins>世代相传：</ins></strong>to originate or come from an ancestral stock or source, to <strong><ins>pass by inheritance</ins></strong><br /><strong>例</strong>　The house has descended through four generations．　这座房子已经传了四代。<br />　　a tradition descending from colonial days　殖民时期传递下来的一项传统<br /><strong>派</strong>　descendant n．后代：one deriving directly from a precursor or prototype<br />　　<strong>例</strong>　They are descendants of the original English and Scottish settlers．他们是最早一批英格兰和苏格兰定居者的后裔。<br />　　<strong>反</strong>　forbears　祖先<br />
desecrate	L06 U10	[ˈdesɪkreɪt][sound:desecrate.mp3]<br />		<hr /><strong>构词</strong>　【根】de-[opposite of]+secr[sacr, sacred]+-ate[v.], 使不神圣→v.亵渎，玷污<br /><strong>词根</strong>　<strong>sacr, sanct</strong>　词根sacr和sanct都表示“holy, sacred”[神的，神圣的]。sacrifice[n.牺牲]原指“为神[sacr]做[fic]的（牺牲）”，古代拜神时需要杀“牲口”（甚至是人）。saint[n.圣人a.神圣的]（音似“圣徒”）与词根sanct同源。<br /><strong>同根</strong>　sacrosanct, desecrate, execrate, sanction, sanctify, sanctimonious, sanctuary<br />	<hr />【<strong>考法 1</strong>】<br />vt. <strong><ins>亵渎，玷污：</ins></strong>to <strong><ins>treat</ins></strong> (a sacred place or object) <strong><ins>shamefully</ins></strong> or with great disrespect<br /><strong>例</strong>　desecrate the shrine　亵渎圣地<br /><strong>近</strong>　defile, profane, violate<br /><strong>反</strong>　sanctify, revere, hallow　尊敬，将…视为神圣<br />
desiccate	L06 U10	[ˈdesɪkeɪt][sound:desiccate.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />vt. <strong><ins>使缺乏活力：</ins></strong>to <strong><ins>deprive</ins></strong> of emotional or intellectual <strong><ins>vitality</ins></strong><br /><strong>例</strong>　The students desiccate after tests．学生们在考试后没有活力。<br /><strong>近</strong>　castrate, dampen, deaden, devitalize, enervate<br /><strong>反</strong>　brace, energize, enliven, invigorate, stimulate, vitalize　使生机勃勃<br />
designate	L06 U10	[ˈdezɪɡneɪt][sound:designate.mp3]<br />		<hr /><strong>构词</strong>　【记】de-[加强语气]+sign[assign]+-ate[v.], assign a position to...→vt.任命；assign a name to...→vt.命名<br /><strong>词根</strong>　<strong>sign</strong>　词根和单词sign表示“签字，标志[mark]”。<br /><strong>同根</strong>　consign, designate, resign, signal<br />	<hr />【<strong>考法 1</strong>】<br />vt. <strong><ins>任命：</ins></strong><strong><ins>to pick</ins></strong> (someone) by one's authority <strong><ins>for a specific position or duty</ins></strong><br /><strong>例</strong>　He has yet to designate his successor as head of the firm．他还没有给公司选定接班人。<br /><strong>近</strong>　assign, commission, constitute, nominate, place<br /><strong>反</strong>　discharge, dismiss, expel, fire　解雇，开除<br /><hr />【<strong>考法 2</strong>】<br />vt. <strong><ins>命名：</ins></strong>to <strong><ins>give a name to</ins></strong><br /><strong>例</strong>　He was designated Air Jordan by his fans．他被粉丝们称为“飞人乔丹”。<br /><strong>近</strong>　denominate, dub, entitle, label, style, term, title<br />
divination	L06 U10	[ˌdɪvɪˈneɪʃn][sound:divination.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />n. <strong><ins>预言：</ins></strong>the art or practice of <strong><ins>foretelling future</ins></strong> events by interpreting omens<br /><strong>例</strong>　Divination is an attempt to discern the future that, once again, heads right to the source of power．占卜是一种试图看清未来的法术，它的终极目标，也是神力的源头。<br /><strong>近</strong>　augury, forecast, predictions<br />
despicable	L07 U01	[dɪˈspɪkəbl][sound:despicable.mp3]<br />		<hr /><strong>构词</strong>　【根】de-[down]+spic[spect, look]+-able[a., able], able to lookdown→a.令人鄙视的；不荣耀的，不得体的<br /><strong>词根</strong>　<strong>spec (t), spic</strong>　词根spec (t)及其变形spic表示look[看]。如，introspect[内省]就是“向内[intro-]看[spect]（自己）”。expect[期待]的字面含义是“向外[ex-]看[(s) pect]”。<br /><strong>同根</strong>　aspect, auspicious, conspicuous, circumspect, despicable, despise, prospect, perspicacious, perspicuous, retrospective, specious, speculate, spectator, spectrum<br />	<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>令人鄙视的：</ins></strong>arousing or deserving of one's <strong><ins>loathing and disgust</ins></strong><br /><strong>例</strong>　a despicable criminal　一个令人鄙视的罪犯<br /><strong>近</strong>　contemptible, detestable, dishonorable<br /><strong>反</strong>　admirable, commendable, creditable, meritorious, praiseworthy　值得赞扬的<br />
despise	L07 U01	[dɪˈspaɪz][sound:despise.mp3]<br />		<hr /><strong>构词</strong>　【根】de-[down]+spis[spic, look]+-e[v.], lookdown→v.极其不喜欢<br /><strong>词根</strong>　<strong>spec (t), spic</strong>　词根spec (t)及其变形spic表示look[看]。如，introspect[内省]就是“向内[intro-]看[spect]（自己）”。expect[期待]的字面含义是“向外[ex-]看[(s) pect]”。<br /><strong>同根</strong>　aspect, auspicious, conspicuous, circumspect, despicable, despise, prospect, perspicacious, perspicuous, retrospective, specious, speculate, spectator, spectrum<br />	<hr />【<strong>考法 1</strong>】<br />vt. <strong><ins>极其不喜欢：</ins></strong>to <strong><ins>dislike strongly</ins></strong><br /><strong>例</strong>　Fools despise wisdom and education．愚者不喜欢智慧和教育。<br /><strong>近</strong>　abhor, abominate, detest, execrate, loathe, disregard, flout<br /><strong>反</strong>　love　喜欢<br />
despotic	L07 U01	[dɪˈspɑːtɪk][sound:despotic.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>专制的，暴虐的：</ins></strong>arbitrary, autocratic, monocratic, <strong><ins>tyrannical</ins></strong><br /><strong>例</strong>　a despotic tyrant　专制的暴君<br /><strong>近</strong>　authoritative, dictatorial, imperious, overbearing, peremptory, tyrannous<br />
desultory	L07 U01	[ˈdesəltɔːri][sound:desultory.mp3]<br />		<hr /><strong>构词</strong>　【根】de-[down]+sult[leap]+-ory[a.], (leaf) leap down→a.无计划的，无目的的；(make mood) leapdown→a.令人失望的<br /><strong>词根</strong>　<strong>sul (t)</strong>　词根sul (t)表示leap[跳]。insult[侮辱]字面含义是“跳[leap]到一个人身上[in-]”, 表示“践踏，侮辱”；result[结果]字面含义是“跳[sult]回来[re-]”, 是指对于所做出行为的回应。<br /><strong>同根</strong>　desultory, exult, resilience, salient<br />	<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>无计划的，无目的的：</ins></strong><strong><ins>lacking</ins></strong> a definite <strong><ins>plan</ins></strong>, purpose, or pattern<br /><strong>例</strong>　a desultory conversation　漫谈<br /><strong>近</strong>　digressive, excursive, meandering, rambling, wandering<br /><strong>反</strong>　carefully planned, strictly methodical, assiduous　精心计划的，有条理的，专心致志的<br />
detach	L07 U01	[dɪˈtætʃ][sound:detach.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />vt. <strong><ins>使分离：</ins></strong>to <strong><ins>separate</ins></strong> or unfasten; disconnect<br /><strong>例</strong>　detach the key from the ring　从钥匙圈上取下钥匙<br /><strong>反</strong>　tether　束缚<br />
detain	L07 U01	[dɪˈteɪn][sound:detain.mp3]<br />		<hr /><strong>构词</strong>　【根】de-[away]+tain[hold], hold (sb./sth.) away, 拿走（人/物）→vt.拘留，扣留<br /><strong>词根</strong>　<strong>tain, tin, ten (t)</strong>　词根tain, 以及变形tent, tin和ten都表示hold。contain[包含]（字面义hold...together[con-]）和attain[获得]（字面义to[at-=ad-]hold）都来自词根tain[hold]。continent[大陆]（字面义holdtogether）就是“连在一起（的土地）”。<br /><strong>同根</strong>　abstain, detain, pertain, retainer, content, malcontentn, countenance, retentive, tenable, untenable, tenacious, pertinent, impertinent, pertinacious, retinue<br />	<hr />【<strong>考法 1</strong>】<br />vt. <strong><ins>拘留，扣留：</ins></strong>to <strong><ins>hold</ins></strong> or <strong><ins>keep</ins></strong> in or as if in custody<br /><strong>例</strong>　arrest and detain the drug dealers　逮捕并拘留毒贩<br /><strong>反</strong>　manumit　释放<br />
deter	L07 U01	[dɪˈtзːr][sound:deter.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />vt. <strong><ins>吓住，威慑：</ins></strong>to <strong><ins>prevent</ins></strong> or <strong><ins>discourage</ins></strong> from acting, as by means of fear or doubt<br /><strong>例</strong>　deter criminals from carrying guns　威慑罪犯使其不带枪<br /><strong>近</strong>　dissuade, inhibit<br /><strong>反</strong>　spur, encourage, persuade　激励<br /><strong>派</strong>　deterrent adj./n．威慑的；威慑力量<br />　　<strong>例</strong>　deterrent weapons　威慑性武器<br />　　　　a deterrent to theft　对偷窃的威慑<br />　　<strong>反</strong>　inducement, incentive　引诱，刺激<br />
deterioration	L07 U01	[dɪˌtɪriəˈreɪʃn][sound:deterioration.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />n. <strong><ins>恶化；堕落：</ins></strong>a gradual <strong><ins>sinking</ins></strong> and wasting away of mind or body<br /><strong>例</strong>　a continuing deterioration in relations between the two countries　两国关系的持续恶化<br /><strong>近</strong>　decadence, degeneration, deterioration, devolution, downfall, downgrade<br /><strong>反</strong>　improvement, recovery, recuperation, rehabilitation, revitalization　改进，改善<br />
detour	L07 U01	[ˈdiːtʊr][sound:detour.mp3]<br />		<hr /><strong>构词</strong>　【根】de-[away]+tour[航线], tour away→v.偏离正常标准；改变方向或者路线，绕道<br />	<hr />【<strong>考法 1</strong>】<br />n. <strong><ins>偏离正常标准：</ins></strong>a turning <strong><ins>away</ins></strong> <strong><ins>from</ins></strong> a course or <strong><ins>standard</ins></strong><br /><strong>例</strong>　We'll regard this relapse as just a brief detour on your road to recovery from substance abuse．我们把这次旧病复发看成你戒瘾道路上的一个小偏离。<br /><strong>近</strong>　deflection, departure, deviation, divergency<br />
detract	L07 U01	[dɪˈtrækt][sound:detract.mp3]<br />		<hr /><strong>构词</strong>　【根】de-[down]+tract[draw], draw down, （将名誉、价值）向下拉→vt.贬低，降低价值<br /><strong>词根</strong>　<strong>tract</strong>　词根tract表示draw[拉], attract[吸引]字面含义“to[at-=ad-]draw[tract]”, 即“拉（注意力）”, 引申为“吸引”。abstract[抽象]就是“（从众多事物中）抽[tract]出[abs-]共同且本质的特征”。<br /><strong>同根</strong>　abstract, contract, detract, distract, distraught, extract, extraction, protract, retract, tractable<br />	<hr />【<strong>考法 1</strong>】<br />vt. <strong><ins>贬低，降低价值：</ins></strong>to <strong><ins>diminish</ins></strong> the importance, value, or effectiveness of something<br /><strong>例</strong>　detract from sth．　贬低某事<br /><strong>近</strong>　belittle, depreciate, derogate, disparage, dispraise, write off<br /><strong>反</strong>　extol, praise, eulogize, laud, panegyrize　赞美<br /><hr />【<strong>考法 2</strong>】<br />vt. <strong><ins>使分心：</ins></strong>to <strong><ins>draw</ins></strong> the <strong><ins>attention</ins></strong> or mind to something else<br /><strong>例</strong>　Numerous typos in the text detract the reader's attention from the novel's intricate plot．许多打印错误让读者分心，不关注复杂的情节了。<br /><strong>近</strong>　divert, call off<br />
detritus	L07 U02	[dɪˈtraɪtəs][sound:detritus.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />n. <strong><ins>废品，碎屑，遗骸：</ins></strong>a <strong><ins>product</ins></strong> of <strong><ins>disintegration</ins></strong>, <strong><ins>destruction</ins></strong>, or wearing away: <strong><ins>debris</ins></strong><br /><strong>例</strong>　the detritus of war　战争的残迹<br /><strong>近</strong>　debris, residue, wreck<br /><strong>反</strong>　valuable product　有用的物品<br />
devoted	L07 U02	[dɪˈvoʊtɪd]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>投入的；忠诚的：</ins></strong>characterized by <strong><ins>loyalty</ins></strong> and <strong><ins>devotion</ins></strong><br /><strong>例</strong>　Good teachers are devoted to learning．好老师会专心学习。<br /><strong>近</strong>　constant, loyal, allegiant, dedicated, devout, loyal, pious, staunch, steadfast<br /><strong>反</strong>　disloyal, faithless, perfidious, unfaithful　不忠诚的；recreant, traitorous, treacherous　背叛的<br />
devout	L07 U02	[dɪˈvaʊt][sound:devout.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>忠诚的：</ins></strong>firm in one's <strong><ins>allegiance</ins></strong> to someone or something<br /><strong>例</strong>　devout Maxists　坚定的马克思主义者<br /><strong>近</strong>　constant, loyal, allegiant, dedicated, pious, staunch, steadfast<br /><strong>反</strong>　disloyal, faithless, perfidious, unfaithful　不忠诚的；recreant, traitorous, treacherous　背叛的<br />
dexterous	L07 U02	[ˈdekstrəs][sound:dexterous.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>动作灵活的：</ins></strong><strong><ins>ready</ins></strong> and <strong><ins>skilled</ins></strong> in physical movements<br /><strong>例</strong>　a dexterous surgeon　技术娴熟的外科医生<br />　　The dexterous watchmaker was able to repair the antique watch's delicate gears and parts．手巧的手表匠能够修理古董手表精密的齿轮和部件。<br /><strong>近</strong>　deft, handy<br /><strong>反</strong>　ham-fisted, ham-handed, handless, heavy-handed, unhandy　手笨的<br /><hr />【<strong>考法 2</strong>】<br />a. <strong><ins>头脑灵活的：</ins></strong><strong><ins>mentally adroit</ins></strong> and <strong><ins>skillful</ins></strong>: clever<br /><strong>近</strong>　adroit, clever, cunning<br /><strong>反</strong>　dull, foolish, silly, fatuous, unwise　傻的<br />
diabolic	L07 U02	[ˌdaɪəˈbɑːlɪk][sound:diabolic.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>恶魔一般的：</ins></strong>of, relating to, or characteristic of the <strong><ins>devil</ins></strong><br /><strong>例</strong>　The police quickly mobilized to track down the diabolic serial killer．警察迅速行动起来追查这个恶魔般的连环杀人狂。<br /><strong>近</strong>　demoniac, demonian, demonic, devilish, satanic<br /><strong>反</strong>　angelic, seraphic　天使般的<br />
diaphanous	L07 U02	[daɪˈæfənəs][sound:diaphanous.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>模糊的；非实在的：</ins></strong><strong><ins>vague</ins></strong> or <strong><ins>insubstantial</ins></strong><br /><strong>例</strong>　only a diaphanous hope of success　只有一丝成功的希望<br /><strong>近</strong>　vague, obscure, unexplicit, insubstantial, immaterial<br /><strong>反</strong>　substantial　实在的；clear, distinct　清晰的<br /><hr />【<strong>考法 2</strong>】<br />a. <strong><ins>（质地精致得）几乎透明的：</ins></strong>of such fine texture as to be <strong><ins>transparent</ins></strong> or <strong><ins>translucent</ins></strong><br /><strong>例</strong>　The bride wore a diaphanous veil．新娘戴着透明的面纱。<br /><strong>近</strong>　transparent, translucent, transpicuous, gossamer<br /><strong>反</strong>　opaque, impermeable of light　不透明的，不透光的<br />
diatribe	L07 U02	[ˈdaɪətraɪb][sound:diatribe.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />n. <strong><ins>长篇抨击性演讲：</ins></strong>a <strong><ins>long</ins></strong> angry speech or <strong><ins>scolding</ins></strong><br /><strong>例</strong>　a diatribe against racism　一个反对种族主义的长篇抨击性演讲<br /><strong>近</strong>　tirade, harangue, jeremiad, philippic, rant<br />
didactic	L07 U02	[daɪˈdæktɪk][sound:didactic.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>喜欢说教的，思修的：</ins></strong>designed or intended to <strong><ins>teach</ins></strong><br /><strong>例</strong>　didactic teaching approach　喜欢说教的教学方法<br /><strong>近</strong>　homiletic, preachy, moralistic, sententious<br /><strong>反</strong>　undidactic　不喜欢说教的<br />
diehard	L07 U02	[ˈdaɪhɑːrd][sound:diehard.mp3]<br />		<hr /><strong>构词</strong>　【根】die[死→不变]+hard[坚硬，坚定不变]，思想不变的（人）→a.顽固的，保守的n.顽固的人，保守的人<br />	<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>顽固的，保守的</ins></strong>　n．<strong><ins>顽固的人，保守的人：</ins></strong>strongly or fanatically <strong><ins>determined</ins></strong> or <strong><ins>devoted</ins></strong>/someone who <strong><ins>opposes change</ins></strong> and <strong><ins>refuses</ins></strong> to accept <strong><ins>new ideas</ins></strong><br /><strong>例</strong>　Some diehard smokers belied the doctors' suggestion．一些顽固的烟民违背了医生们的建议。<br /><strong>近</strong>　conservative, hidebound, old-fashioned, reactionary, ultraconservative<br /><strong>反</strong>　liberal, nonconservative, open-minded, liberal　自由的，开放的<br />
dovish	L07 U02	[ˈdʌvɪʃ][sound:dovish.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>鸽派的，爱好和平的：</ins></strong>inclined to <strong><ins>live in peace</ins></strong> and to avoid war<br /><strong>例</strong>　The party's dovish faction has regarded the war as a bad idea from the get-go．党中的鸽派分子认为这场战争从一开始就是一个坏主意。<br /><strong>近</strong>　peaceful, pacific, pacifist, peaceable<br /><strong>反</strong>　bloodthirsty, hawkish, warlike　好战的<br />
diffuse	L07 U03			<hr /><strong>构词</strong>　【根】dif-[apart, in every direction]+fus[pour]+-e[v.], （speech) pour in every direction→a.啰嗦的；（fluid, light, etc.）pour in everydirection→a.不集中的，扩散的v.扩展，散开<br /><strong>词根</strong>　<strong>fus</strong>　词根fus表示pour[倒，流，倾泻]。confuse[使混乱；使困惑]指“（将…）倒[fus]在一起[con-]”, 增加混乱的程度；refuse[拒绝]的字面含义是“倒[fus]回[re-]”。<br /><strong>同根</strong>　diffuse, effusive, infuse, profuse, suffuse<br />	<hr />【<strong>考法 1</strong>】<br />[dɪˈfjuːs] [sound:diffuse_a.mp3]<br />a. <strong><ins>啰嗦的：</ins></strong>being at once <strong><ins>verbose</ins></strong> and ill-organized<br /><strong>例</strong>　a diffuse report　冗长的报告<br /><strong>近</strong>　circuitous, circumlocutory, long-winded, prolix, verbose, windy, rambling<br /><strong>反</strong>　concise, pithy, succinct, terse, laconic　简洁的<br /><hr />【<strong>考法 2</strong>】<br />[dɪˈfjuːz] [sound:diffuse_v.mp3]<br />v. <strong><ins>扩展，散开：</ins></strong>to <strong><ins>extend</ins></strong>, <strong><ins>scatter</ins></strong><br /><strong>例</strong>　The photographer uses a screen to diffuse the light．摄影师用一个屏幕来分散光线。<br /><strong>近</strong>　spread, extend, disperse, disseminate, scatter<br /><strong>反</strong>　concentrate, center, centralize, focus　集中<br />
digress	L07 U03	[daɪˈɡres][sound:digress.mp3]<br />		<hr /><strong>构词</strong>　【根】di-[aside]+gress[step], step (subject) aside→v.脱离主题<br /><strong>词根</strong>　<strong>gress</strong>　词根gress表示step[迈步，踏]。progress[进步]就是“向前[pro-]迈步[gress]”。词根gress还有一个同源词根grad（尾辅音s-d相互替换），grade[级别]指在某个领域迈了多少步。<br /><strong>同根</strong>　aggressive, digress, regress, transgress, retrograde<br />	<hr />【<strong>考法 1</strong>】<br />v. <strong><ins>脱离主题：</ins></strong>to <strong><ins>turn aside</ins></strong> especially from the <strong><ins>main subject</ins></strong> of attention or course of argument<br /><strong>例</strong>　digress from her prepared subject　脱离她准备好的主题<br /><strong>近</strong>　excurse, ramble, diverge, get off the subject<br /><strong>派</strong>　digressive adj．偏离的<br />　　<strong>近</strong>　discursive<br /><strong>派</strong>　digression n．题外话，跑题：the act or an instance of digressing in a discourse<br />　　<strong>近</strong>　aside<br />
dilapidate	L07 U03	[dɪˈlæpɪdeɪt][sound:dilapidate.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />v. <strong><ins>（使）荒废：</ins></strong>to bring into a condition of decay or partial <strong><ins>ruin</ins></strong><br /><strong>例</strong>　The students dilapidated their study．学生们荒废了学业。<br /><strong>近</strong>　ruin, wreck<br /><strong>反</strong>　be in use　还在使用；restore　恢复使用；mend, repair　修理；rejuvenate, renew, renovate　翻新<br />
dilate	L07 U03	[daɪˈleɪt][sound:dilate.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />v. <strong><ins>（使）膨胀，扩大：</ins></strong>to <strong><ins>enlarge</ins></strong> or <strong><ins>expand</ins></strong> in bulk or extent; to become <strong><ins>wide</ins></strong><br /><strong>例</strong>　The cat dilated its eyes in the darkness．猫在黑暗中睁大眼睛。<br />　　The drug dilates the blood vessels．药使血管膨胀。<br /><strong>近</strong>　expand, amplify, enlarge<br /><strong>反</strong>　contract　收缩；narrow　使变窄<br />
dilatory	L07 U03	[ˈdɪlətɔːri][sound:dilatory.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>拖延的，磨蹭的：</ins></strong>tending or intended to <strong><ins>cause delay</ins></strong>, characterized by <strong><ins>procrastination</ins></strong><br /><strong>例</strong>　dilatory tactics　拖延战术<br />　　The homeowner is claiming that local firefighters were dilatory in responding to the call．业主声称本地的消防队员对（火警）电话有拖延。<br /><strong>近</strong>　delaying, procrastinating, dragging, lagging, tardy<br /><strong>反</strong>　rapid, fast, fleet, precipitate, rocketing, swift, hasty, hurrying, scurrying　快速的<br />
dilettante	L07 U03	[ˌdɪləˈtænti][sound:dilettante.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />n./a. <strong><ins>业余爱好者（对艺术或知识领域涉猎浅薄者）/缺乏专业技术的：</ins></strong>a person having a <strong><ins>superficial interest</ins></strong> in an art/<strong><ins>lacking</ins></strong> or showing a lack of <strong><ins>expert skill</ins></strong><br /><strong>例</strong>　Dilettante watch the scene of bustle, adept guard the entrance．外行看热闹，内行看门道。<br /><strong>近</strong>　dabbler, amateur, nonexpert, cognoscente; nonprofessional, amateur<br /><strong>反</strong>　authority, expert, pro, professional, specialist　专家<br />
diligent	L07 U03	[ˈdɪlɪdʒənt][sound:diligent.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>勤勉的，辛勤的：</ins></strong>characterized by <strong><ins>steady</ins></strong>, <strong><ins>earnest</ins></strong>, and <strong><ins>energetic</ins></strong> effort: painstaking<br /><strong>例</strong>　a diligent and prolific worker　勤奋且出活多的工人<br /><strong>近</strong>　assiduous, industrious, sedulous, engaged, hopping, tied-up<br /><strong>反</strong>　idle, inactive, unbusy, unemployed, unoccupied　空闲的<br />
dilute	L07 U03	[daɪˈluːt][sound:dilute.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />vt. <strong><ins>稀释/</ins></strong>adj．<strong><ins>经稀释的：</ins></strong>to make thinner or less <strong><ins>concentrated</ins></strong> by adding a liquid such as water/of relatively <strong><ins>low strength</ins></strong> or <strong><ins>concentration</ins></strong><br /><strong>例</strong>　dilute a color　稀释色彩<br />　　a dilute acid that's safe to handle in the classroom　稀释了的可以安全在教室处理的酸<br /><strong>近</strong>　thin<br /><strong>反</strong>　condense, densify, concentrate, thicken　使浓缩<br />
